0,1,2,3,4,5,6,7,8,9
"('Walc <= 1.00', 0.3792133117530554)","('Dalc <= 1.00', 0.22957606276179274)","('studytime > 2.00', 0.10413130621464109)","('famrel <= 4.00', 0.08412233850093069)","('4.00 < health <= 5.00', -0.08117182578636502)","('age <= 16.00', -0.0703789267772041)","('2.00 < Medu <= 4.00', -0.065235991861863)","('0.00 < famsup <= 1.00', 0.06030289874583847)","('freetime <= 3.00', 0.057999971323860616)","('romantic <= 0.00', -0.05515544249864303)"
"('Dalc <= 1.00', 0.2247786248120805)","('2.00 < Walc <= 3.00', -0.1616089180411805)","('4.00 < health <= 5.00', -0.07295973106695887)","('romantic <= 0.00', -0.06606066860468264)","('0.00 < famsup <= 1.00', 0.06160740955164075)","('0.00 < activities <= 1.00', -0.05608793880881876)","('schoolsup <= 0.00', -0.05551409844300378)","('freetime > 4.00', -0.055371746730575926)","('age <= 16.00', -0.05440430191501101)","('4.00 < famrel <= 5.00', -0.05210753124631953)"
"('Dalc <= 1.00', 0.2401914864610334)","('2.00 < Walc <= 3.00', -0.16454068097705257)","('famrel <= 4.00', 0.0842045528035067)","('health <= 2.00', 0.07794551935843114)","('1.00 < studytime <= 2.00', 0.06252042469228157)","('Medu <= 2.00', 0.060449398609830056)","('G2 <= 10.00', -0.05807139054754698)","('0.00 < famsup <= 1.00', 0.057074039935116457)","('romantic <= 0.00', -0.05391080699169814)","('17.00 < age <= 18.00', 0.0520970269987356)"
"('Dalc <= 1.00', 0.21305072919625942)","('famrel <= 4.00', 0.08575968591708072)","('4.00 < health <= 5.00', -0.07404985185921682)","('G2 <= 10.00', -0.07317130228799383)","('age > 18.00', 0.07061432729628828)","('2.00 < Medu <= 4.00', -0.06673261823131195)","('famsup <= 0.00', -0.061205437552270626)","('0.00 < activities <= 1.00', -0.055891754842773825)","('0.00 < romantic <= 1.00', 0.054521839048257734)","('1.00 < studytime <= 2.00', 0.053722881926111674)"
"('Dalc <= 1.00', 0.2225054516429155)","('studytime <= 1.00', -0.12424505461233068)","('famrel <= 4.00', 0.0837643392190571)","('G2 <= 10.00', -0.08185038227860547)","('4.00 < health <= 5.00', -0.08094342460498703)","('Medu <= 2.00', 0.06808216361248531)","('0.00 < famsup <= 1.00', 0.06298585768946888)","('freetime <= 3.00', 0.06178234857630844)","('activities <= 0.00', 0.05361640430206352)","('goout <= 2.00', -0.05088943676486728)"
"('2.00 < Walc <= 3.00', -0.16452516090752534)","('1.00 < Dalc <= 2.00', -0.1307253074985808)","('famrel <= 4.00', 0.09467989542958577)","('G2 > 13.00', 0.09158596556365206)","('Mjob <= 1.00', 0.07428549717631217)","('0.00 < famsup <= 1.00', 0.06452599452296823)","('2.00 < Medu <= 4.00', -0.061411605786777325)","('age <= 16.00', -0.06082459249281635)","('romantic <= 0.00', -0.05790163335751016)","('0.00 < activities <= 1.00', -0.052282876967681684)"
"('2.00 < Walc <= 3.00', -0.1610249404260851)","('studytime <= 1.00', -0.13749033651288248)","('1.00 < Dalc <= 2.00', -0.11061913031858692)","('famrel <= 4.00', 0.07779086002346858)","('romantic <= 0.00', -0.0716927684720351)","('health <= 2.00', 0.07013599144396197)","('G2 > 13.00', 0.06529294147984875)","('0.00 < famsup <= 1.00', 0.06512242252094946)","('2.00 < Medu <= 4.00', -0.06506197842307042)","('freetime <= 3.00', 0.05949272177025553)"
"('2.00 < Walc <= 3.00', -0.158734587449198)","('1.00 < Dalc <= 2.00', -0.1136160201428035)","('freetime > 4.00', -0.08859125824461168)","('Mjob <= 1.00', 0.08259435868799837)","('G2 <= 10.00', -0.08061175886135714)","('famrel <= 4.00', 0.07726339537143279)","('0.00 < famsup <= 1.00', 0.06883982994927293)","('2.00 < Medu <= 4.00', -0.06715390909652633)","('activities <= 0.00', 0.06590145477391922)","('romantic <= 0.00', -0.05824274198283347)"
"('Walc <= 1.00', 0.36536862584752566)","('Dalc <= 1.00', 0.22403808800597494)","('studytime > 2.00', 0.11918852619794527)","('famrel <= 4.00', 0.07951350909865894)","('0.00 < famsup <= 1.00', 0.06811383472344697)","('Medu <= 2.00', 0.06707701564876384)","('romantic <= 0.00', -0.06300152398003338)","('freetime <= 3.00', 0.06175898688478768)","('2.00 < Mjob <= 3.00', -0.05208187044976313)","('activities <= 0.00', 0.05080624866511236)"
"('Walc <= 1.00', 0.37364377578648006)","('Dalc <= 1.00', 0.23327145165000102)","('Mjob > 3.00', -0.08923734588055855)","('G2 <= 10.00', -0.07522317760542824)","('4.00 < famrel <= 5.00', -0.07510986390656378)","('4.00 < health <= 5.00', -0.07185197281541209)","('famsup <= 0.00', -0.06649719788379285)","('2.00 < Medu <= 4.00', -0.06474762883656233)","('freetime <= 3.00', 0.06189634733326498)","('0.00 < romantic <= 1.00', 0.054153909736823255)"
"('Walc > 3.00', -0.36805814030233003)","('Dalc <= 1.00', 0.2243135984145884)","('famrel <= 4.00', 0.0936709557121278)","('Mjob <= 1.00', 0.08454523240726768)","('4.00 < health <= 5.00', -0.08037400677110534)","('G2 > 13.00', 0.07707156593050289)","('Medu <= 2.00', 0.06313432739279669)","('freetime <= 3.00', 0.06153275138544302)","('famsup <= 0.00', -0.06033327779622413)","('0.00 < romantic <= 1.00', 0.055425860820335036)"
"('Walc > 3.00', -0.3761718169435834)","('Dalc <= 1.00', 0.2185912223426086)","('studytime <= 1.00', -0.12801236446679246)","('famrel <= 4.00', 0.08253798580817474)","('4.00 < health <= 5.00', -0.07889991866206045)","('famsup <= 0.00', -0.062951170567412)","('2.00 < Medu <= 4.00', -0.060322338648796624)","('age <= 16.00', -0.056465877241062105)","('activities <= 0.00', 0.05563935321104378)","('freetime <= 3.00', 0.05407253650502913)"
"('Dalc <= 1.00', 0.23224227589460167)","('2.00 < Walc <= 3.00', -0.17144914837217073)","('famrel <= 4.00', 0.0872711844482968)","('Medu <= 2.00', 0.07255360671114262)","('0.00 < famsup <= 1.00', 0.06587126277704136)","('romantic <= 0.00', -0.061922288347871515)","('0.00 < activities <= 1.00', -0.06085484207074426)","('age <= 16.00', -0.052374465827909146)","('schoolsup > 0.00', 0.04887937329131588)","('guardian <= 1.00', -0.045046566736920986)"
"('Walc > 3.00', -0.36920259632278873)","('Dalc <= 1.00', 0.22211069150076768)","('studytime <= 1.00', -0.13405255822485354)","('famrel <= 4.00', 0.08019365674192604)","('famsup <= 0.00', -0.0755837957337928)","('2.00 < Mjob <= 3.00', -0.06463008804867484)","('age <= 16.00', -0.06334081681624633)","('G2 <= 10.00', -0.06269355415865042)","('2.00 < Medu <= 4.00', -0.06014364812758856)","('romantic <= 0.00', -0.05899002378328003)"
"('2.00 < Walc <= 3.00', -0.16962547635437764)","('1.00 < Dalc <= 2.00', -0.1197856423248657)","('studytime > 2.00', 0.10964488716936842)","('4.00 < health <= 5.00', -0.07489512186143217)","('G2 > 13.00', 0.07380552263882584)","('2.00 < Medu <= 4.00', -0.0720154744943529)","('famrel <= 4.00', 0.06847997382332945)","('romantic <= 0.00', -0.06177528679472736)","('0.00 < famsup <= 1.00', 0.06150815138325523)","('failures <= 0.00', 0.05517013131965089)"
"('Dalc <= 1.00', 0.22153417311442397)","('4.00 < health <= 5.00', -0.07600668062527503)","('famrel <= 4.00', 0.07429923507224843)","('age <= 16.00', -0.07035329765923126)","('G2 <= 10.00', -0.06463380200481539)","('romantic <= 0.00', -0.0631542156127957)","('famsup <= 0.00', -0.06187354699244358)","('2.00 < Medu <= 4.00', -0.06131516784096868)","('1.00 < studytime <= 2.00', 0.0590459955507557)","('goout > 4.00', 0.057388670669338414)"
"('Dalc <= 1.00', 0.22174391761386206)","('Mjob <= 1.00', 0.09906847852532617)","('famrel <= 4.00', 0.0784494507370388)","('famsup <= 0.00', -0.07439762569333169)","('freetime <= 3.00', 0.062272790979618936)","('2.00 < Medu <= 4.00', -0.0559351497043882)","('0.00 < romantic <= 1.00', 0.05102758352427487)","('0.00 < activities <= 1.00', -0.04832055586031164)","('school <= 0.00', -0.04617086509508353)","('1.00 < studytime <= 2.00', 0.0460797699059674)"
"('Walc <= 1.00', 0.3691328182277803)","('Dalc <= 1.00', 0.22520725347338852)","('health <= 2.00', 0.08541783118318595)","('famrel <= 4.00', 0.07717961023751872)","('0.00 < famsup <= 1.00', 0.07121807487692629)","('G2 <= 10.00', -0.0665891045299664)","('Medu <= 2.00', 0.06280431885334768)","('activities <= 0.00', 0.05684422950133406)","('0.00 < romantic <= 1.00', 0.05648674558016812)","('freetime <= 3.00', 0.0543013340532027)"
