0,1,2,3,4,5,6,7,8,9
"('Walc > 3.00', -0.3658815235616361)","('Dalc > 2.00', -0.27732700472055744)","('studytime <= 1.00', -0.12769965263751232)","('health <= 2.00', 0.08968535735025514)","('2.00 < Medu <= 4.00', -0.0726287546083808)","('4.00 < famrel <= 5.00', -0.0722180214054792)","('age <= 16.00', -0.06547388941578959)","('famsup <= 0.00', -0.06540691054812349)","('freetime <= 3.00', 0.06122532745397339)","('romantic <= 0.00', -0.05844766402997328)"
"('Walc <= 1.00', 0.3740496003631426)","('Dalc <= 1.00', 0.22264167121931902)","('famrel <= 4.00', 0.08611077742730978)","('G2 > 13.00', 0.08009364847431982)","('0.00 < romantic <= 1.00', 0.06172221754633436)","('age <= 16.00', -0.060925517413360726)","('famsup <= 0.00', -0.0600920733445699)","('Medu <= 2.00', 0.05932405227190066)","('1.00 < studytime <= 2.00', 0.054946225255293774)","('freetime <= 3.00', 0.054363554426635104)"
"('1.00 < Dalc <= 2.00', -0.12171125679709847)","('studytime <= 1.00', -0.12050081847171631)","('famrel <= 4.00', 0.0907452853786485)","('4.00 < health <= 5.00', -0.0784616825555339)","('famsup <= 0.00', -0.061584580806480715)","('romantic <= 0.00', -0.06057096311846823)","('2.00 < Medu <= 4.00', -0.05836790038460874)","('freetime <= 3.00', 0.05730714302523546)","('activities <= 0.00', 0.056261808211185996)","('goout <= 2.00', -0.051296693956009096)"
"('Walc > 3.00', -0.3731706499989507)","('Dalc <= 1.00', 0.22453364445290538)","('studytime <= 1.00', -0.13489838621558836)","('Mjob <= 1.00', 0.09173001229630004)","('health <= 2.00', 0.0845399480482014)","('4.00 < famrel <= 5.00', -0.07842879020053013)","('G2 <= 10.00', -0.069416163519549)","('famsup <= 0.00', -0.06819772632468758)","('Medu <= 2.00', 0.060606580258701505)","('freetime <= 3.00', 0.06060221492383461)"
"('Walc <= 1.00', 0.3748679904501459)","('Dalc <= 1.00', 0.2253267599808775)","('studytime > 2.00', 0.1141552524227014)","('famrel <= 4.00', 0.0819511930066761)","('health <= 2.00', 0.08144373514779757)","('Medu <= 2.00', 0.0625607187656702)","('famsup <= 0.00', -0.06196258103921009)","('0.00 < activities <= 1.00', -0.05240123836275019)","('0.00 < romantic <= 1.00', 0.05201218116911489)","('goout <= 2.00', -0.04882117859398424)"
"('Walc <= 1.00', 0.37080879588708204)","('Dalc <= 1.00', 0.2296673741534188)","('studytime > 2.00', 0.11811682848641876)","('famrel <= 4.00', 0.07485741028041154)","('Medu <= 2.00', 0.06754068597910579)","('0.00 < famsup <= 1.00', 0.0645551636733645)","('activities <= 0.00', 0.056713877880216625)","('freetime <= 3.00', 0.05628556844101894)","('0.00 < romantic <= 1.00', 0.053503376505967926)","('fatherd <= 0.00', 0.04184298158664142)"
"('Walc <= 1.00', 0.3673235221215929)","('Dalc <= 1.00', 0.22315935185957028)","('4.00 < health <= 5.00', -0.08806893942079388)","('famrel <= 4.00', 0.08328528252447574)","('G2 > 13.00', 0.07370306790182019)","('0.00 < famsup <= 1.00', 0.06573238104254316)","('age <= 16.00', -0.06540287398959667)","('2.00 < Medu <= 4.00', -0.0630056721264084)","('romantic <= 0.00', -0.06132046889465632)","('freetime <= 3.00', 0.05774587634349355)"
"('1.00 < Dalc <= 2.00', -0.11232781762015664)","('studytime > 2.00', 0.10353413502030123)","('G2 > 13.00', 0.0864813347036277)","('famrel <= 4.00', 0.07851742395281523)","('famsup <= 0.00', -0.07409150558585995)","('4.00 < health <= 5.00', -0.07368843884275138)","('freetime <= 3.00', 0.0625249406884263)","('2.00 < Medu <= 4.00', -0.06153902935470029)","('activities <= 0.00', 0.056991059326418674)","('0.00 < romantic <= 1.00', 0.053710767603398366)"
"('Walc <= 1.00', 0.36796854570652904)","('Dalc <= 1.00', 0.2263662336715687)","('health <= 2.00', 0.08612168701180249)","('4.00 < famrel <= 5.00', -0.07877319231726758)","('age <= 16.00', -0.0688470713704707)","('Medu <= 2.00', 0.06581874326039412)","('0.00 < romantic <= 1.00', 0.0648604334844675)","('famsup <= 0.00', -0.06477392530969495)","('freetime <= 3.00', 0.05498062888526568)","('1.00 < studytime <= 2.00', 0.054897559168038935)"
"('studytime <= 1.00', -0.1321055208965929)","('1.00 < Dalc <= 2.00', -0.11998273463501127)","('famrel <= 4.00', 0.09392733942533071)","('Mjob <= 1.00', 0.08990405156982159)","('4.00 < health <= 5.00', -0.0871449546080632)","('Medu <= 2.00', 0.07181172085681142)","('G2 <= 10.00', -0.07040593613441923)","('famsup <= 0.00', -0.06803651424503765)","('0.00 < romantic <= 1.00', 0.0642564290445573)","('goout <= 2.00', -0.0632883761857316)"
